Name,Code
삼성전자,005930
SK하이닉스,000660
현대차,005380
LG에너지솔루션,373220
삼성전자우,005935
삼성바이오로직스,207940
한화에어로스페이스,012450
HD현대중공업,329180
기아,000270
두산에너빌리티,034020
SK스퀘어,402340
KB금융,105560
삼성물산,028260
셀트리온,068270
한화오션,042660
현대모비스,012330
신한지주,055550
NAVER,035420
한국전력,015760
삼성생명,032830
고려아연,010130
HD현대일렉트릭,267260
HD한국조선해양,009540
POSCO홀딩스,005490
삼성중공업,010140
하나금융지주,086790
삼성SDI,006400
카카오,035720
LG화학,051910
현대로템,064350
삼성화재,000810
효성중공업,298040
삼성전기,009150
SK,034730
우리금융지주,316140
현대글로비스,086280
HD현대,267250
HMM,011200
메리츠금융지주,138040
미래에셋증권,006800
SK이노베이션,096770
포스코퓨처엠,003670
LG전자,066570
한화시스템,272210
KT&G,033780
한미반도체,042700
기업은행,024110
한국항공우주,047810
LS ELECTRIC,010120
삼성에피스홀딩스,0126Z0
하이브,352820
삼성에스디에스,018260
LG,003550
KT,030200
두산,000150
현대오토에버,307950
SK텔레콤,017670
LIG넥스원,079550
현대건설,000720
크래프톤,259960
포스코인터내셔널,047050
S-Oil,010950
현대차2우B,005387
한국금융지주,071050
카카오뱅크,323410
한화,000880
SK바이오팜,326030
대한항공,003490
삼양식품,003230
에이피알,278470
DB손해보험,005830
키움증권,039490
한진칼,180640
이수페타시스,007660
유한양행,000100
HD현대마린솔루션,443060
NH투자증권,005940
한국타이어앤테크놀로지,161390
삼성증권,016360
아모레퍼시픽,090430
LS,006260
두산로보틱스,454910
LG씨엔에스,064400
LG이노텍,011070
현대차우,005385
LG유플러스,032640
카카오페이,377300
포스코DX,022100
LG디스플레이,034220
삼성카드,029780
두산밥캣,241560
한미약품,128940
GS,078930
코웨이,021240
맥쿼리인프라,088980
CJ,001040
한전기술,052690
엔씨소프트,036570
삼성E&A,028050
대한전선,001440
한화솔루션,009830
BNK금융지주,138930
한화엔진,082740
엘앤에프,066970
오리온,271560
JB금융지주,175330
산일전기,062040
SKC,011790
현대제철,004020
넷마블,251270
LG생활건강,051900
에코프로머티,450080
KCC,002380
SK바이오사이언스,302440
강원랜드,035250
DB하이텍,000990
금호석유화학,011780
영원무역,111770
한국가스공사,036460
현대엘리베이터,017800
풍산,103140
서울보증보험,031210
한온시스템,018880
HD현대마린엔진,071970
롯데케미칼,011170
HL만도,204320
CJ제일제당,097950
일진전기,103590
롯데지주,004990
에스원,012750
더존비즈온,012510
한화생명,088350
한솔케미칼,014680
한화비전,489790
신세계,004170
한올바이오파마,009420
대한조선,439260
한미사이언스,008930
HD현대인프라코어,042670
대덕전자,353200
세아베스틸지주,001430
한전KPS,051600
동서,026960
효성,004800
한국앤컴퍼니,000240
영원무역홀딩스,009970
농심,004370
두산퓨얼셀,336260
현대위아,011210
F&F,383220
에스엘,005850
신영증권,001720
현대해상,001450
제일기획,030000
이수스페셜티케미컬,457190
HJ중공업,097230
미스토홀딩스,081660
이마트,139480
CJ대한통운,000120
iM금융지주,139130
팬오션,028670
OCI홀딩스,010060
코리안리,003690
HD현대건설기계,267270
롯데쇼핑,023530
현대백화점,069960
코스맥스,192820
두산우,000155
SK가스,018670
아모레퍼시픽홀딩스,002790
시프트업,462870
SK아이이테크놀로지,361610
BGF리테일,282330
한국카본,017960
대웅제약,069620
대우건설,047040
녹십자,006280
SNT다이내믹스,003570
호텔신라,008770
동원산업,006040
미래에셋증권2우B,00680K
롯데에너지머티리얼즈,020150
금호타이어,073240
다우기술,023590
GS리테일,007070
달바글로벌,483650
씨에스윈드,112610
DL이앤씨,375500
SK리츠,395400
롯데관광개발,032350
GS건설,006360
아시아나항공,020560
미래에셋생명,085620
파라다이스,034230
오뚜기,007310
가온전선,000500
엠앤씨솔루션,484870
한국콜마,161890
STX엔진,077970
코리아써키트,007810
코스모신소재,005070
DN오토모티브,007340
LX인터내셔널,001120
대신증권,003540
HDC현대산업개발,294870
현대지에프홀딩스,005440
LG화학우,051915
오리온홀딩스,001800
대웅,003090
하이트진로,000080
효성티앤씨,298020
SK오션플랜트,100090
한일시멘트,300720
일동제약,249420
롯데리츠,330590
지역난방공사,071320
KB발해인프라,415640
롯데칠성,005300
코오롱인더,120110
SK케미칼,285130
세진중공업,075580
LS에코에너지,229640
롯데정밀화학,004000
종근당,185750
동양생명,082640
교보증권,030610
삼성화재우,000815
SK디스커버리,006120
더블유게임즈,192080
ESR켄달스퀘어리츠,365550
롯데렌탈,089860
한화투자증권,003530
한샘,009240
롯데웰푸드,280360
SNT모티브,064960
에스디바이오센서,137310
HDC,012630
대한유화,006650
NHN,181710
SK네트웍스,001740
한화3우B,00088K
CJ CGV,079160
쿠쿠홀딩스,192400
영풍,000670
LG전자우,066575
해성디에스,195870
NICE평가정보,030190
HS효성첨단소재,298050
SNT홀딩스,036530
세방전지,004490
명인제약,317450
GS피앤엘,499790
GKL,114090
디아이,003160
LX세미콘,108320
태광산업,003240
케이씨텍,281820
경동나비엔,009450
후성,093370
한국금융지주우,071055
SNT에너지,100840
넥센타이어,002350
한화리츠,451800
파미셀,005690
DL,000210
유안타증권,003470
한국단자,025540
F&F홀딩스,007700
대상,001680
보령,003850
TKG휴켐스,069260
이노션,214320
전진건설로봇,079900
케이카,381970
빙그레,005180
KG모빌리티,003620
솔루엠,248070
동원시스템즈,014820
하나투어,039130
미원상사,002840
녹십자홀딩스,005250
아이에스동서,010780
율촌화학,008730
신한알파리츠,293940
프레스티지바이오파마,950210
미원에스씨,268280
CJ4우(전환),00104K
SK이터닉스,475150
신풍제약,019170
동아쏘시오홀딩스,000640
한화손해보험,000370
현대차3우B,005389
부국증권,001270
금양,001570
현대홈쇼핑,057050
JW중외제약,001060
OCI,456040
HD현대에너지솔루션,322000
카프로,006380
LX홀딩스,383800
고려제강,002240
아세아,002030
세아홀딩스,058650
대한해운,005880
코오롱,002020
코스모화학,005420
풍산홀딩스,005810
한국쉘석유,002960
한세실업,105630
대신증권우,003545
제이알글로벌리츠,348950
E1,017940
비에이치,090460
엠씨넥스,097520
삼양바이오팜,0120G0
현대차증권,001500
바이오노트,377740
KG스틸,016380
솔루스첨단소재,336370
덴티움,145720
신대양제지,016590
롯데손해보험,000400
드림텍,192650
LF,093050
티웨이항공,091810
자화전자,033240
세아제강지주,003030
퍼시스,016800
풀무원,017810
삼천리,004690
태영건설,009410
쿠쿠홈시스,284740
디아이씨,092200
명신산업,009900
일진하이솔루스,271940
현대그린푸드,453340
한일홀딩스,003300
맵스리얼티,094800
동아에스티,170900
DB증권,016610
유니드,014830
제주항공,089590
아모레퍼시픽우,090435
삼양사,145990
NICE,034310
신도리코,029530
YG PLUS,037270
PI첨단소재,178920
삼양홀딩스,000070
서연이화,200880
우진,105840
삼성FN리츠,448730
조광피혁,004700
아세아시멘트,183190
SPC삼립,005610
한화갤러리아,452260
코람코라이프인프라리츠,357120
제주은행,006220
현대약품,004310
HL홀딩스,060980
애경케미칼,161000
KCC글라스,344820
천일고속,000650
동국제강,460860
농심홀딩스,072710
두산2우B,000157
쏘카,403550
DI동일,001530
흥아해운,003280
스틱인베스트먼트,026890
한전산업,130660
NH투자증권우,005945
부광약품,003000
INVENI,015360
신세계인터내셔날,031430
KISCO홀딩스,001940
삼성전기우,009155
수산인더스트리,126720
케이씨,029460
진에어,272450
BGF,027410
한국철강,104700
KB스타리츠,432320
TCC스틸,002710
일진홀딩스,015860
더본코리아,475560
코람코더원리츠,417310
삼아알미늄,006110
현대퓨처넷,126560
영진약품,003520
유진투자증권,001200
SBS,034120
롯데이노베이트,286940
대덕,008060
대상홀딩스,084690
화신,010690
티엠씨,217590
애경산업,018250
한섬,020000
세아제강,306200
사조대림,003960
SIMPAC,009160
SK증권,001510
남해화학,025860
신성이엔지,011930
KG케미칼,001390
국도화학,007690
DS단석,017860
제이에스코퍼레이션,194370
콜마홀딩스,024720
SJG세종,033530
DB,012030
아세아제지,002310
에스엠벡셀,010580
남양유업,003920
삼화콘덴서,001820
계양전기,012200
디앤디플랫폼리츠,377190
코오롱ENP,138490
넥센,005720
서울가스,017390
한국토지신탁,034830
화승엔터프라이즈,241590
KPX홀딩스,092230
한진,002320
이리츠코크렙,088260
SGC에너지,005090
광동제약,009290
한국자산신탁,123890
유나이티드제약,033270
대동,000490
이지스밸류플러스리츠,334890
대성산업,128820
삼영무역,002810
대원전선,006340
모토닉,009680
엘브이엠씨홀딩스,900140
삼성SDI우,006405
현대코퍼레이션,011760
한농화성,011500
일신방직,003200
일성아이에스,003120
사조산업,007160
대원강업,000430
대신밸류리츠,0030R0
넥스틸,092790
지누스,013890
BYC,001460
LS네트웍스,000680
노루홀딩스,000320
JW홀딩스,096760
이수화학,005950
세방,004360
백산,035150
서연,007860
LX하우시스,108670
아이마켓코리아,122900
TYM,002900
대원제약,003220
PKC,001340
삼진제약,005500
삼성물산우B,02826K
에이플러스에셋,244920
일양약품,007570
무학,033920
포스코스틸리온,058430
대한제당,001790
광주신세계,037710
대한제강,084010
잇츠한불,226320
에이블씨엔씨,078520
신세계 I&C,035510
대한제분,001130
SK디앤디,210980
한양증권,001750
미래에셋증권우,006805
LG생활건강우,051905
성신양회,004980
동아지질,028100
서흥,008490
코오롱글로벌,003070
경방,000050
선진,136490
동국홀딩스,001230
종근당홀딩스,001630
스카이라이프,053210
흥국화재,000540
방림,003610
휴스틸,005010
하이트진로홀딩스,000140
신한서부티엔디리츠,404990
강남제비스코,000860
CR홀딩스,000480
대성에너지,117580
이월드,084680
알루코,001780
퍼스텍,010820
미원화학,134380
제일약품,271980
HS효성,487570
에이프로젠,007460
LG우,003555
다올투자증권,030210
교촌에프앤비,339770
한국화장품제조,003350
한국공항,005430
CJ우,001045
송원산업,004430
금호석유화학우,011785
HDC랩스,039570
미창석유,003650
경인양행,012610
에어부산,298690
삼익THK,004380
한국무브넥스,010100
도화엔지니어링,002150
삼영전자,005680
동성케미컬,102260
AJ네트웍스,095570
대신증권2우B,003547
S-Oil우,010955
KPX케미칼,025000
한미글로벌,053690
동양,001520
KSS해운,044450
삼일제약,000520
삼화전기,009470
토니모리,214420
JW생명과학,234080
환인제약,016580
이구산업,025820
차AI헬스케어,025620
이연제약,102460
GS글로벌,001250
해태제과식품,101530
한솔제지,213500
현대비앤지스틸,004560
만호제강,001080
삼영,003720
NH올원리츠,400760
KCTC,009070
삼양패키징,272550
신세계푸드,031440
CJ제일제당 우,097955
KBI동양철관,008970
하나제약,293480
화승인더,006060
삼화페인트,000390
웅진,016880
한솔테크닉스,004710
대창단조,015230
계룡건설,013580
한국석유,004090
경농,002100
LG헬로비전,037560
DH오토넥스,000300
금강공업,014280
롯데하이마트,071840
동양고속,084670
동화약품,000020
일진다이아,081000
진양홀딩스,100250
신원,009270
한국화장품,123690
노루페인트,090350
한세예스24홀딩스,016450
삼양통상,002170
조선내화,462520
조일알미늄,018470
남선알미늄,008350
대동전자,008110
모나용평,070960
자이에스앤디,317400
사조씨푸드,014710
금호건설,002990
세아특수강,019440
유수홀딩스,000700
와이투솔루션,011690
미원홀딩스,107590
유화증권,003460
동국씨엠,460850
한국주철관,000970
사조동아원,008040
무림P&P,009580
진원생명과학,011000
태림포장,011280
한독,002390
한국제지,027970
디와이파워,210540
효성화학,298000
아모레퍼시픽홀딩스3우C,00279K
일동홀딩스,000230
텔코웨어,078000
대한화섬,003830
삼성제약,001360
이지스레지던스리츠,350520
대교,019680
티에이치엔,019180
신라교역,004970
효성ITX,094280
HDC현대EP,089470
그린케미칼,083420
KEC,092220
현대리바트,079430
유니퀘스트,077500
한진중공업홀딩스,003480
태경산업,015890
디와이,013570
샘표,007540
HS애드,035000
웅진씽크빅,095720
경보제약,214390
대성홀딩스,016710
디씨엠,024090
신영와코루,005800
샘표식품,248170
NPC,004250
신흥,004080
인팩,023810
티와이홀딩스,363280
콘텐트리중앙,036420
대창,012800
대호에이엘,069460
제일파마홀딩스,002620
경동인베스트,012320
한솔홀딩스,004150
조선선재,120030
인바이오젠,101140
세원정공,021820
동부건설,005960
한국수출포장,002200
경동도시가스,267290
SK우,03473K
아시아나IDT,267850
DKME,015590
태경비케이,014580
일신석재,007110
한일철강,002220
HS화성,002460
화승코퍼레이션,013520
키다리스튜디오,020120
아주스틸,139990
극동유화,014530
세이브존I&C,067830
HLB글로벌,003580
동방,004140
코스맥스비티아이,044820
KTcs,058850
금호에이치티,214330
동남합성,023450
두올,016740
인지컨트롤스,023800
휴니드,005870
우신시스템,017370
유한양행우,000105
인천도시가스,034590
대영포장,014160
DYP,092780
벽산,007210
삼성공조,006660
STX,011810
아남전자,008700
한신공영,004960
페이퍼코리아,001020
유니켐,011330
일성건설,013360
수산세보틱스,017550
현대코퍼레이션홀딩스,227840
한신기계,011700
광전자,017900
크라운제과,264900
종근당바이오,063160
삼성출판사,068290
미래에셋글로벌리츠,396690
삼익악기,002450
진흥기업,002780
AK홀딩스,006840
HL D&I,014790
KC코트렐,119650
CJ씨푸드,011150
두산퓨얼셀1우,33626K
화천기계,010660
DRB동일,004840
황금에스티,032560
TP,007980
NI스틸,008260
인스코비,006490
성창기업지주,000180
조흥,002600
크라운해태홀딩스,005740
삼원강재,023000
엔케이,085310
동일고무벨트,163560
에이프로젠바이오로직스,003060
제일연마,001560
KTis,058860
삼호개발,010960
신일전자,002700
동일산업,004890
영보화학,014440
국제약품,002720
팜스코,036580
팜젠사이언스,004720
GS우,078935
SK이노베이션우,096775
지엠비코리아,013870
씨케이솔루션,480370
휴비스,079980
태경케미컬,006890
한국특강,007280
CS홀딩스,000590
부국증권우,001275
진양산업,003780
한국내화,010040
화천기공,000850
부산산업,011390
동인기연,111380
태양금속,004100
사조오양,006090
NH프라임리츠,338100
삼부토건,001470
동방아그로,007590
한컴라이프케어,372910
신송홀딩스,006880
남광토건,001260
씨티알모빌리티,308170
무림페이퍼,009200
한솔로지스틱스,009180
삼정펄프,009770
대림바스,005750
금호전기,001210
유유제약,000220
동원금속,018500
디와이덕양,024900
아모레퍼시픽홀딩스우,002795
모나리자,012690
삼일씨엔에스,004440
덕성,004830
아이티센씨티에스,031820
대현,016090
호전실업,111110
현대건설우,000725
까뮤이앤씨,013700
인터지스,129260
상상인증권,001290
코오롱인더우,120115
유니온,000910
DL이앤씨2우(전환),37550L
하이스틸,071090
화인베스틸,133820
기신정기,092440
깨끗한나라,004540
테이팩스,055490
SG글로벌,001380
화승알앤에이,378850
혜인,003010
남양유업우,003925
오리엔트바이오,002630
비상교육,100220
미래에셋맵스리츠,357250
보락,002760
SG세계물산,004060
광명전기,017040
형지엘리트,093240
유니온머티리얼,047400
서원,021050
명문제약,017180
새론오토모티브,075180
상신브레이크,041650
씨아이테크,004920
SJM,123700
삼화왕관,004450
미래산업,025560
롯데칠성우,005305
다스코,058730
DSR,155660
고려산업,002140
전방,000950
케이비아이동국실업,001620
SK케미칼우,28513K
조광페인트,004910
인디에프,014990
평화홀딩스,010770
써니전자,004770
성안머티리얼스,011300
조비,001550
유엔젤,072130
코리아써우,007815
보해양조,000890
성문전자,014910
유성기업,002920
서울식품,004410
한화솔루션우,009835
SB성보,003080
신한글로벌액티브리츠,481850
SJM홀딩스,025530
대양금속,009190
삼화전자,011230
DSR제강,069730
아진전자부품,009320
평화산업,090080
선도전기,007610
대구백화점,006370
에쓰씨엔지니어링,023960
범양건영,002410
진양화학,051630
대유에이텍,002880
티웨이홀딩스,004870
SK디스커버리우,006125
영화금속,012280
메타케어,118000
갤럭시아에스엠,011420
BYC우,001465
한국종합기술,023350
유안타증권우,003475
우성,006980
금비,008870
마스턴프리미어리츠,357430
한솔홈데코,025750
마니커,027740
블루산업개발,006740
영흥,012160
DL이앤씨우,37550K
일진디스플,020760
유화증권우,003465
이건산업,008250
케이탑리츠,145270
주성코퍼레이션,109070
신풍제약우,019175
메타랩스,090370
문배철강,008420
엑시큐어하이트론,019490
STX그린로지스,465770
이화산업,000760
코아스,071950
부국철강,026940
SH에너지화학,002360
시디즈,134790
플레이그램,009810
한화갤러리아우,45226K
우진플라임,049800
부산주공,005030
한화투자증권우,003535
대원화성,024890
이엔플러스,074610
DL우,000215
신풍,002870
모나미,005360
솔루스첨단소재1우,33637K
KR모터스,000040
MH에탄올,023150
대한방직,001070
한익스프레스,014130
대림통상,006570
세우글로벌,013000
체시스,033250
유니드비티플러스,446070
원림,005820
동일제강,002690
세방우,004365
한성기업,003680
두산퓨얼셀2우B,33626L
에넥스,011090
다이나믹디자인,145210
대덕전자1우,35320K
경인전자,009140
한창제지,009460
우진아이엔에스,010400
한국전자홀딩스,006200
SUN&L,002820
온타이드,005320
WISCOM,024070
진양폴리,010640
세기상사,002420
남성,004270
미래아이앤지,007120
한세엠케이,069640
코오롱우,002025
호텔신라우,008775
동원수산,030720
대한항공우,003495
한창,005110
주연테크,044380
동성제약,002210
비비안,002070
핸즈코퍼레이션,143210
이스타코,015020
진도,088790
태원물산,001420
넥센타이어1우B,002355
TBH글로벌,084870
대상우,001685
대교우B,019685
한진칼우,18064K
롯데지주우,00499K
참엔지니어링,009310
SHD,001770
아센디오,012170
녹십자홀딩스2우,005257
일정실업,008500
한국주강,025890
에이엔피,015260
KC그린홀딩스,009440
윌비스,008600
LX하우시스우,108675
하이트진로2우B,000087
스타에스엠리츠,204210
넥센우,005725
대한제당우,001795
한국ANKOR유전,152550
에이리츠,140910
솔루스첨단소재2우B,33637L
삼양사우,145995
NPC우,004255
LX홀딩스1우,38380K
대상홀딩스우,084695
JW중외제약2우B,001067
대덕1우,00806K
유유제약1우,000225
태양금속우,004105
코오롱글로벌우,003075
코리아써키트2우B,00781K
계양전기우,012205
JW중외제약우,001065
덕성우,004835
한양증권우,001755
대원전선우,006345
SK증권우,001515
성신양회우,004985
크라운제과우,26490K
노루홀딩스우,000325
태영건설우,009415
일양약품우,007575
하이트진로홀딩스우,000145
노루페인트우,090355
흥국화재우,000545
티와이홀딩스우,36328K
금호건설우,002995
남선알미우,008355
금강공업우,014285
크라운해태홀딩스우,005745
동부건설우,005965
동원시스템즈우,014825
깨끗한나라우,004545
유유제약2우B,000227
동양우,001525
성문전자우,014915
CJ씨푸드1우,011155
진흥기업우B,002785
서울식품우,004415
동양2우B,001527
진흥기업2우B,002787
웰바이오텍,010600
국보,001140
